Detectors,Iterations,Span,RMSE,Group
90,180,180,75.85008021358016,Detectors
180,180,180,72.20718801006517,Detectors
270,180,180,73.13325338124291,Detectors
360,180,180,70.916177629367,Detectors
450,180,180,71.4235962879211,Detectors
540,180,180,71.89151186591782,Detectors
630,180,180,72.03017411030842,Detectors
720,180,180,70.78977473728632,Detectors
180,90,180,79.66548232366603,Iterations
180,180,180,72.20718801006517,Iterations
180,270,180,71.05415350644354,Iterations
180,360,180,69.74461557995669,Iterations
180,450,180,68.9724214671201,Iterations
180,540,180,68.61202992406109,Iterations
180,630,180,68.49922406850993,Iterations
180,720,180,68.28014888702286,Iterations
180,180,45,76.57483477568603,Span
180,180,90,82.21162191258207,Span
180,180,135,77.45691076509362,Span
180,180,180,72.20718801006517,Span
180,180,225,74.77868773380607,Span
180,180,270,81.30134380021171,Span
