Detectors,Iterations,Span,RMSE,Group
90,180,180,64.18188389112134,Detectors
180,180,180,63.47809105181158,Detectors
270,180,180,62.908370308873,Detectors
360,180,180,60.01425936727946,Detectors
450,180,180,60.599453167816534,Detectors
540,180,180,60.95756091155189,Detectors
630,180,180,61.606005525344266,Detectors
720,180,180,60.35282676129258,Detectors
180,90,180,67.52386815794746,Iterations
180,180,180,63.47809105181158,Iterations
180,270,180,61.45477135770784,Iterations
180,360,180,60.43034272073686,Iterations
180,450,180,59.69317331807105,Iterations
180,540,180,59.37782548947278,Iterations
180,630,180,59.25744941722355,Iterations
180,720,180,59.24653524411624,Iterations
180,180,45,81.20572054014842,Span
180,180,90,77.69737298716501,Span
180,180,135,69.2525234465033,Span
180,180,180,63.47809105181158,Span
180,180,225,58.189553812598035,Span
180,180,270,60.41424153225819,Span
