Detectors,Iterations,Span,RMSE,Group
90,180,180,91.5505843032482,Detectors
180,180,180,92.57374093243102,Detectors
270,180,180,93.6443003585554,Detectors
360,180,180,91.95528929300478,Detectors
450,180,180,93.14356135620295,Detectors
540,180,180,94.04047573523884,Detectors
630,180,180,94.61441759775394,Detectors
720,180,180,93.40612946883377,Detectors
180,90,180,94.37141811716526,Iterations
180,180,180,92.57374093243102,Iterations
180,270,180,92.0460593560512,Iterations
180,360,180,92.17566178497653,Iterations
180,450,180,92.01195257594733,Iterations
180,540,180,91.99524092570583,Iterations
180,630,180,91.95255149739101,Iterations
180,720,180,92.07549536739197,Iterations
180,180,45,103.92148576747377,Span
180,180,90,113.8373322327051,Span
180,180,135,99.35095946362547,Span
180,180,180,92.57374093243102,Span
180,180,225,88.96167513451738,Span
180,180,270,89.47357650685461,Span
